"signatura","dir_geocodif","cp","barrio","codbarrio","coddistbar","coddistrit"
"CV-VUT0052177-V","AVENIDA HERMANOS MARISTAS 24, Valencia, España",46013,"NA ROVELLA","5","105","10"
"CV-VUT0055995-V","CALLE LIRIO 32, Valencia, España",46024,"EL GRAU","1","111","11"
"CV-VUT0055999-V","CALLE LIRIO 32, Valencia, España",46024,"EL GRAU","1","111","11"
"CV-VUT0054968-V","CALLE PEDRO ALEIXANDRE 34, Valencia, España",46006,"MONTOLIVET","1","101","10"
"CV-VUT0054986-V","CALLE PEDRO ALEIXANDRE 34, Valencia, España",46006,"MONTOLIVET","1","101","10"
"CV-VUT0058170-V","CALLE CUENCA 51, Valencia, España",46008,"ARRANCAPINS","4","034","3"
"CV-VUT0058481-V","CALLE CUENCA 51, Valencia, España",46008,"ARRANCAPINS","4","034","3"
"CV-VUT0037872-V","AVENIDA MARIA CRISTINA 4, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0033174-V","AVENIDA MARIA CRISTINA 6, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0033175-V","AVENIDA MARIA CRISTINA 6, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0040921-V","AVENIDA OEST 17, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0036846-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0036847-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0033893-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0036848-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0036849-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0036850-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0033978-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0033977-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0041565-V","AVENIDA OEST 22, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0043924-V","AVENIDA OEST 23, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0045125-V","AVENIDA OEST 23, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0033895-V","AVENIDA OEST 31, Valencia, España",46001,"SANT FRANCESC","6","016","1"
"CV-VUT0032865-V","AVENIDA OEST 35, Valencia, España",46001,"SANT FRANCESC","6","016","1"
"CV-VUT0037478-V","AVENIDA OEST 37, Valencia, España",46001,"SANT FRANCESC","6","016","1"
"CV-VUT0046536-V","AVENIDA OEST 43, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0042324-V","CALLE EN GALL 1, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0039209-V","CALLE LONJA 8, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0041896-V","CALLE QUART 26, Valencia, España",46001,"EL CARME","3","013","1"
"CV-VUT0042772-V","CALLE SANT ANTONI 6, Valencia, España",46001,"SANT ANTONI","5","055","5"
"CV-VUT0037167-V","CALLE ADRESADORS 11, Valencia, España",46001,"SANT FRANCESC","6","016","1"
"CV-VUT0043857-V","CALLE ADRESADORS 13, Valencia, España",46001,"SANT FRANCESC","6","016","1"
"CV-VUT0043922-V","CALLE ADRESADORS 13, Valencia, España",46001,"SANT FRANCESC","6","016","1"
"CV-VUT0044407-V","CALLE ADRESADORS 16, Valencia, España",46001,"SANT FRANCESC","6","016","1"
"CV-VUT0038532-V","CALLE ALADRERS 10, Valencia, España",46001,"EL PILAR","4","014","1"
"CV-VUT0041355-V","CALLE ALUDERS 1, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0036707-V","CALLE ALUDERS 12, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0034232-V","CALLE ALUDERS 12, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0033896-V","CALLE ALUDERS 2, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0043308-V","CALLE ALUDERS 2, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0040908-V","CALLE ALUDERS 4, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0041285-V","CALLE ALUDERS 4, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0035530-V","CALLE ALUDERS 9, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0039848-V","CALLE ANGOSTA COMPAÑIA 2, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0041374-V","CALLE BALMES 26, Valencia, España",46001,"EL PILAR","4","014","1"
"CV-VUT0042336-V","CALLE BANY 28, Valencia, España",46001,"EL PILAR","4","014","1"
"CV-VUT0044835-V","CALLE BLANES 3, Valencia, España",46001,"EL MERCAT","5","015","1"
"CV-VUT0036956-V","CALLE BLANES 4, Valencia, España",46001,"EL GRAU","1","111","11"
