coddistbar,codbarrio,coddistrit,nombre,Ind_Equip,Vul_Equip,Ind_Dem,Vul_Dem,Ind_Econom,Vul_Econom,Ind_Global,Vul_Global,n_locales_total,n_locales_bakery,n_locales_bank,n_locales_bar,n_locales_cafe,n_locales_clothes,n_locales_convenience,n_locales_fast_food,n_locales_hairdresser,n_locales_health_care,n_locales_home_craft_repairs,n_locales_leisure_education,n_locales_otro,n_locales_pharmacy,n_locales_professional_services,n_locales_restaurant,n_locales_retail_commerce,n_locales_supermarket_food,n_paradas_emt,n_paradas_metro,n_equipamiento_municipal,poblacion,indice_turistico,demo_edad_0___4,demo_edad_05___09,demo_edad_10___14,demo_edad_15___19,demo_edad_20___24,demo_edad_25___29,demo_edad_30___34,demo_edad_35___39,demo_edad_40___44,demo_edad_45___49,demo_edad_50___54,demo_edad_55___59,demo_edad_60___64,demo_edad_65___69,demo_edad_70___74,demo_edad_75___79,demo_edad_80___84,demo_edad_85___89,demo_edad_90+,demo_pct_joven,demo_pct_mayor,demo_total_distrito,sin_dato_vulnerabilidad,sin_dato_turistico,densidad_locales_hab,accesibilidad_tp,area_km2,densidad_locales_km2,oferta_insuficiente
171,1,17,BENIFARAIG,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,10.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,1014.0,0.0,237.0,329.0,420.0,341.0,302.0,340.0,340.0,388.0,517.0,563.0,528.0,477.0,409.0,368.0,326.0,239.0,207.0,145.0,90.0,24.81,20.94,6566.0,1,0,0.009861932938856016,8.0,1.4220684362159706,7.032010376806713,0
161,1,16,BENICALAP,4.6,Vulnerabilidad Baja,3.1,Vulnerabilidad Baja,2.5,Vulnerabilidad Baja,3.4,Vulnerabilidad Baja,342.0,5.0,5.0,4.0,4.0,1.0,2.0,6.0,7.0,6.0,3.0,6.0,235.0,10.0,5.0,28.0,4.0,11.0,35.0,5.0,47.0,40908.0,0.7587683920957047,2205.0,2441.0,2373.0,2463.0,2253.0,2510.0,2863.0,3900.0,4223.0,3924.0,3701.0,2976.0,2484.0,2361.0,2177.0,1563.0,1186.0,711.0,385.0,25.13,17.95,46699.0,0,0,0.008360222939278381,45.0,1.7189228360057809,198.96181075509887,0
152,2,15,TORREFIEL,4.2,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,1.9,Vulnerabilidad Media,3.0,Vulnerabilidad Baja,161.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,121.0,9.0,0.0,3.0,0.0,11.0,27.0,1.0,39.0,26268.0,0.6637511779855062,2361.0,2872.0,3055.0,2750.0,2871.0,3044.0,3137.0,3903.0,4918.0,4662.0,4293.0,3311.0,2894.0,2586.0,2323.0,1795.0,1477.0,936.0,382.0,25.96,17.73,53570.0,0,0,0.006129130500989797,29.0,0.700270612895219,229.91111869503843,1
54,4,5,TORMOS,2.6,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.2,Vulnerabilidad Media,2.6,Vulnerabilidad Baja,35.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,16.0,8628.0,0.6752031516778667,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0,0.004056560037088549,6.0,0.27994899563997927,125.022773952048,1
55,5,5,SANT ANTONI,2.0,Vulnerabilidad Baja,2.7,Vulnerabilidad Baja,3.1,Vulnerabilidad Baja,2.6,Vulnerabilidad Baja,113.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,86.0,2.0,1.0,2.0,0.0,11.0,5.0,1.0,18.0,9806.0,0.5923718557050031,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0,0.011523557005914746,7.0,0.24987147948998933,452.23248459825584,0
141,1,14,BENIMACLET,3.8,Vulnerabilidad Baja,2.4,Vulnerabilidad Alta,3.0,Vulnerabilidad Baja,3.1,Vulnerabilidad Baja,633.0,14.0,9.0,10.0,17.0,8.0,4.0,7.0,11.0,9.0,16.0,18.0,382.0,13.0,11.0,54.0,24.0,26.0,20.0,6.0,55.0,23306.0,0.6569836997161449,1068.0,1074.0,1128.0,1223.0,1695.0,1997.0,2007.0,2098.0,2119.0,1814.0,2081.0,2100.0,2076.0,1846.0,1517.0,1087.0,869.0,618.0,301.0,21.55,21.72,28718.0,0,0,0.027160387882948597,32.0,0.7512572569381264,842.5875346348021,0
51,1,5,MARXALENES,2.4,Vulnerabilidad Baja,2.6,Vulnerabilidad Media,2.2,Vulnerabilidad Media,2.4,Vulnerabilidad Media,62.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,48.0,0.0,0.0,3.0,0.0,2.0,14.0,2.0,25.0,10629.0,0.61456477060286,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0,0.005833098127763665,18.0,0.3903624699847752,158.8267437759017,1
43,3,4,EL CALVARI,1.2,Vulnerabilidad Alta,2.6,Vulnerabilidad Media,1.8,Vulnerabilidad Alta,1.9,Vulnerabilidad Alta,47.0,0.0,0.0,7.0,1.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,12.0,1.0,1.0,5.0,2.0,7.0,4.0,0.0,4.0,4864.0,0.4153108336861584,1741.0,2197.0,2142.0,1731.0,1594.0,1899.0,2293.0,2893.0,3337.0,3174.0,2681.0,2427.0,2423.0,2370.0,2135.0,1433.0,952.0,582.0,334.0,24.53,20.36,38338.0,0,0,0.009662828947368422,4.0,0.0936816233163531,501.6992483284143,0
52,2,5,MORVEDRE,2.0,Vulnerabilidad Baja,2.4,Vulnerabilidad Alta,2.4,Vulnerabilidad Baja,2.3,Vulnerabilidad Alta,196.0,3.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,163.0,2.0,2.0,6.0,1.0,1.0,13.0,1.0,23.0,10222.0,0.7897060394110516,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0,0.01917432987673645,15.0,0.4281813657337379,457.74995290636133,0
53,3,5,TRINITAT,3.2,Vulnerabilidad Baja,2.6,Vulnerabilidad Media,2.7,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,244.0,4.0,5.0,5.0,6.0,4.0,1.0,6.0,4.0,5.0,2.0,0.0,177.0,3.0,2.0,8.0,6.0,6.0,11.0,1.0,26.0,7807.0,0.62816451872197,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0,0.03125400281798386,13.0,0.5956740651766486,409.6199822425393,0
